Condition,Size,Experiment,Run,Precision,Recall,F1,MCC,Accuracy,Path
brain_genNullseqs,2k,lr3e-6_ep10,results,78.13,78.01,77.96,56.14,77.98,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/2k/brain_genNullseqs/lr3e-6_ep10/results/TSp_vs_genNullseqs_2k_brain_genNullseqs_lr3e-6/eval_results.json
brain_genNullseqs,3k,lr3e-5_ep10,results,80.63,80.42,80.35,61.05,80.37,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/3k/brain_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_3k_brain_genNullseqs_lr3e-5/eval_results.json
brain_genNullseqs,4k,lr3e-5_ep10,results,81.54,81.13,81.07,62.67,81.13,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/4k/brain_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_4k_brain_genNullseqs_lr3e-5/eval_results.json
liver_genNullseqs,2k,lr3e-6_ep10,results,80.25,80.17,80.16,60.43,80.17,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/2k/liver_genNullseqs/lr3e-6_ep10/results/TSp_vs_genNullseqs_2k_liver_genNullseqs_lr3e-6/eval_results.json
liver_genNullseqs,3k,lr3e-5_ep10,results,81.91,81.9,81.9,63.8,81.9,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/3k/liver_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_3k_liver_genNullseqs_lr3e-5/eval_results.json
liver_genNullseqs,4k,lr3e-5_ep10,results,74.97,74.82,74.75,49.79,74.78,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/4k/liver_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_4k_liver_genNullseqs_lr3e-5/eval_results.json
testis_genNullseqs,2k,lr3e-5_ep10,results,80.68,80.68,80.68,61.35,80.68,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/2k/testis_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_2k_testis_genNullseqs_lr3e-5/eval_results.json
testis_genNullseqs,3k,lr3e-5_ep10,results,79.71,79.71,79.71,59.41,79.71,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/3k/testis_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_3k_testis_genNullseqs_lr3e-5/eval_results.json
testis_genNullseqs,4k,lr3e-5_ep10,results,80.52,79.83,79.71,60.34,79.82,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/4k/testis_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_4k_testis_genNullseqs_lr3e-5/eval_results.json
tspAll_genNullseqs,2k,lr3e-5_ep10,results,82.29,82.24,82.23,64.53,82.24,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/2k/tspAll_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_2k_tspAll_genNullseqs_lr3e-5/eval_results.json
tspAll_genNullseqs,3k,lr3e-5_ep10,results,80.91,80.58,80.53,61.49,80.58,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/3k/tspAll_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_3k_tspAll_genNullseqs_lr3e-5/eval_results.json
tspAll_genNullseqs,4k,lr3e-5_ep10,results,81.04,80.75,80.71,61.79,80.76,/data/projects/dna/pallavi/DNABERT_runs/DATA_RUN/dnabert2_FineTune_Zhihan_attention_extracted/july_2025_mmseq/TSp_vs_genNullseqs/4k/tspAll_genNullseqs/lr3e-5_ep10/results/TSp_vs_genNullseqs_4k_tspAll_genNullseqs_lr3e-5/eval_results.json
